headline,body,location,time_published,Text
Hackers obstruct govt sites for four hours,"Hundreds of government websites under the ‘.gov.np’ domain, including the Office of the Prime Minister, the President’s Office, and websites of all departments were hacked by people from unidentified places that obstructed accessibility to the websites from 12:00 noon to 4:00pm today.",Nepal,"29 Jan, 2023 ",hacker obstruct govt site four hour hundred government website .gov.np domain including office prime minister president office website department hacked people unidentified place obstructed accessibility website noon pm today.
Behind PM Dahal's consensus mantra,"Prime Minister and CPN-Maoist Centre Chair Pushpa Kamal Dahal’s idea of electing the new president through consensus has raised hackles among CPN-UML leaders, who said that as per their agreement with Dahal, they should get the post of president.",Nepal,"29 Jan, 2023 ",behind pm dahal consensus mantra prime minister cpn maoist centre chair pushpa kamal dahal idea electing new president consensus raised hackle among cpn uml leader said per agreement dahal get post president.
Search for one missing in Pokhara plane crash underway,"Search for one of 72 people killed in the Pokhara plane crash is underway, said the Nepali Army.",Nepal,"28 Jan, 2023 ",search one missing pokhara plane crash underway search one people killed pokhara plane crash underway said nepali army.
Minister Toshima Karki refutes allegations related to ICU protocol,Minister of State for Health and Population Toshima Karki has issued a clarification through Facebook after she was criticised for publicity stunt by posting a video of her visit to the Kirtipur-based burn hospital on Wednesday.,Nepal,"28 Jan, 2023 ",minister toshima karki refutes allegation related icu protocol minister state health population toshima karki issued clarification facebook criticised publicity stunt posting video visit kirtipur based burn hospital wednesday.
US undersecy of state arriving tomorrow,The States Undersecretary of State for Political Affairs Victoria Nuland is arriving in Nepal on January 29 on a two-day visit. The United States Undersecretary of State for Political Affairs Victoria Nuland is arriving in Nepal on January 29 on a two-day visit.,Nepal,"28 Jan, 2023 ",u undersecy state arriving tomorrow state undersecretary state political affair victoria nuland arriving nepal january two day visit. united state undersecretary state political affair victoria nuland arriving nepal january two day visit.
CPN-MC to forge national consensus on candidate for new president,The CPN-Maoist Centre has decided to forge national consensus on the candidate for the new president.,Nepal,"28 Jan, 2023 ",cpn mc forge national consensus candidate new president cpn maoist centre decided forge national consensus candidate new president.
'I'm no longer the chair of RSP',"After the Supreme Court’s verdict, Rabi Lamichhane walked out of the home ministry and told mediapersons that he welcomed the court decision. He said he was now ‘stateless’ and was unable to make any comments.",Nepal,"28 Jan, 2023 ",longer chair rsp supreme court verdict rabi lamichhane walked home ministry told mediapersons welcomed court decision. said stateless unable make comments.
SC invalidates Lamichhane's election to HoR,The constitutional bench of the Supreme Court today barred Deputy Prime Minister and Home Minister Rabi Lamichhane from office for failing to regain citizenship after giving up his US passport.,Nepal,"28 Jan, 2023 ",sc invalidates lamichhane election hor constitutional bench supreme court today barred deputy prime minister home minister rabi lamichhane office failing regain citizenship giving u passport.
Bajura earthquake: 42 families displaced,The 5.9 magnitude earthquake that struck Bajura district on Tuesday has completely displaced 42 families.,Nepal,"27 Jan, 2023 ",bajura earthquake family displaced . magnitude earthquake struck bajura district tuesday completely displaced families.
Closure of Tiptala pass impacts socio-economic life in northern Taplejung,The Tiptala folks expect the government to take initiations for reopening the border to normalize their life.,Nepal,"27 Jan, 2023 ",closure tiptala pas impact socio economic life northern taplejung tiptala folk expect government take initiation reopening border normalize life.
Nepal records six COVID-19 cases on Friday,"With this, a total of 6,002,097 PCR tests have been carried out till date.",Nepal,"27 Jan, 2023 ",nepal record six covid case friday total pcr test carried till date.
Quake destruction details yet to be collected,Earthquake victims in Bajura are facing problems as details of the destruction and rescue works are yet to be collected even after three days.,Nepal,"27 Jan, 2023 ",quake destruction detail yet collected earthquake victim bajura facing problem detail destruction rescue work yet collected even three days.
Nawa Durga temple to be promoted as peeth,The process of promoting Nawa Durga temple at Ward No 4 of Omsatiya Rural Municipality in Rupandehi district as peeth (a pilgrimage destination) has begun.,Nepal,"27 Jan, 2023 ",nawa durga temple promoted peeth process promoting nawa durga temple ward omsatiya rural municipality rupandehi district peeth pilgrimage destination begun.
"Local representative, kin thrashed","A dispute over preventing grazing on the premises of the health post in Chhinnamasta Rural Municipality, Saptari, has led to thrashing of an elected local representative and his family.",Nepal,"27 Jan, 2023 ",local representative kin thrashed dispute preventing grazing premise health post chhinnamasta rural municipality saptari led thrashing elected local representative family.
"'NC prefers consensus, not power sharing'",Nepali Congress Spokesperson Prakash Sharan Mahat said the party had decided to support the government led by CPN-Maoist Centre Chair Pushpa Kamal Dahal to establish national consensus.,Nepal,"27 Jan, 2023 ",nc prefers consensus power sharing nepali congress spokesperson prakash sharan mahat said party decided support government led cpn maoist centre chair pushpa kamal dahal establish national consensus.
CPN-MC for president thru consensus,A standing committee meeting of the ruling CPN-Maoist Centre on Thursday began discussion on the possibility of electing president through consensus.,Nepal,"27 Jan, 2023 ",cpn mc president thru consensus standing committee meeting ruling cpn maoist centre thursday began discussion possibility electing president consensus.
Black boxes from Nepal plane crash to be sent to Singapore,Both the flight data recorder and cockpit voice recorder would be examined by experts at Singapore's Transportation Safety Investigation Bureau.,Nepal,"26 Jan, 2023 ",black box nepal plane crash sent singapore flight data recorder cockpit voice recorder would examined expert singapore transportation safety investigation bureau.
Nepal records five COVID-19 cases on Thursday,"With this, a total of 6,001,947 PCR tests have been carried out till date.",Nepal,"26 Jan, 2023 ",nepal record five covid case thursday total pcr test carried till date.
SC to continue hearing Lamichhane's case,"The Supreme Court will continue hearing the case filed against Rastriya Swatantra Party Chair Rabi Lamichhane, raising questions about the status of his Nepali citizenship.",Nepal,"26 Jan, 2023 ",sc continue hearing lamichhane case supreme court continue hearing case filed rastriya swatantra party chair rabi lamichhane raising question status nepali citizenship.
"Nepal sending stones to Ayodhya for sculpting idols of Ram, Sita",Nepal will send two shilas (stones) from the Kali Gandaki River to Ayodhya to build idols of Lord Ram and Sita at the Ram temple to be built by Ram Janmabhoomi Teertha Kshetra (a trust) there.,Nepal,"26 Jan, 2023 ",nepal sending stone ayodhya sculpting idol ram sita nepal send two shilas stone kali gandaki river ayodhya build idol lord ram sita ram temple built ram janmabhoomi teertha kshetra trust there.
Govt to investigate Acharya's self-immolation,"The government has decided to investigate issues raised by Prem Prasad Acharya of Ilam, who committed self-immolation in front of the federal Parliament in New Baneshwor yesterday. He succumbed to burn injuries at Cleft and Burn Centre in Kirtipur early today morning.",Nepal,"26 Jan, 2023 ",govt investigate acharya self immolation government decided investigate issue raised prem prasad acharya ilam committed self immolation front federal parliament new baneshwor yesterday. succumbed burn injury cleft burn centre kirtipur early today morning.
NSC probe panel recommends stern action against CAN,The investigation committee formed by the National Sports Council to probe irregularities in the NepalT20 Cricket League submitted its report to NSC Member Secretary Tanka Lal Ghising recommending that the sports governing body should take stern action against the executive committee of the Cricket Association of Nepal.,Nepal,"26 Jan, 2023 ",nsc probe panel recommends stern action investigation committee formed national sport council probe irregularity nepalt cricket league submitted report nsc member secretary tanka lal ghising recommending sport governing body take stern action executive committee cricket association nepal.
Six Pokhara plane crash victims to be identified through DNA tests,DNA tests would be carried out in the Nepal Police Laboratory in Kathmandu.,Nepal,"25 Jan, 2023 ",six pokhara plane crash victim identified dna test dna test would carried nepal police laboratory kathmandu.
Nepal records three COVID-19 cases on Wednesday,Nepal records three COVID-19 cases on Wednesday,Nepal,"25 Jan, 2023 ",nepal record three covid case wednesday nepal record three covid case wednesday
Pokhara festival records transactions of worth Rs 100 million,The 13th Pokhara Festival witnessed transactions worth Rs 100 million.,Nepal,"25 Jan, 2023 ",pokhara festival record transaction worth r million th pokhara festival witnessed transaction worth r million.
New rule to discourage child marriage,"A ward office in Surunga Municipality of Saptari has come up with a new rule to discourage the scourge of child marriage. As per the new rule, it is mandatory to mention the date of birth of both the bride and bridegroom on the invitation card.",Nepal,"25 Jan, 2023 ",new rule discourage child marriage ward office surunga municipality saptari come new rule discourage scourge child marriage. per new rule mandatory mention date birth bride bridegroom invitation card.
Measles patients detected in three local levels of Kailali,Measles patients have been found in three local levels of Kailali.,Nepal,"25 Jan, 2023 ",measles patient detected three local level kailali measles patient found three local level kailali.
Youth attempts self-immolation in front of Parliament building,A 36-year-old tried to self-immolate in front of the Parliament in New Baneshwor today.,Nepal,"25 Jan, 2023 ",youth attempt self immolation front parliament building year old tried self immolate front parliament new baneshwor today.
PM says won't brook criticism of federalism,Prime Minister Pushpa Kamal Dahal told the National Assembly that he would issue a show cause notice to members of his Cabinet if they spoke against federalism and republican order.,Nepal,"25 Jan, 2023 ",pm say brook criticism federalism prime minister pushpa kamal dahal told national assembly would issue show cause notice member cabinet spoke federalism republican order.
"Ex-players, teams' management, involved in spot-fixing: Police","KATHMANDU, JANUARY 24The Central Investigation Bureau of Nepal Police today revealed in a press conference that people from team management, former players, and middlemen...",Nepal,"25 Jan, 2023 ",ex player team management involved spot fixing police kathmandu january central investigation bureau nepal police today revealed press conference people team management former player middlemen...
60 of the Nepal plane crash victims handed over to relatives,60 of the Nepal plane crash victims handed over to relatives,Nepal,"24 Jan, 2023 ",nepal plane crash victim handed relative nepal plane crash victim handed relative
"Earthquake kills 1, injures several in Nepal's mountains","Earthquake kills 1, injures several in Nepal's mountains",Nepal,"24 Jan, 2023 ",earthquake kill injures several nepal mountain earthquake kill injures several nepal mountain
Earthquake jolts Sudurpaschim Province,A 5.9 magnitude earthquake has occurred at 2:43pm this afternoon. The epicentre of the temblor was in Bajura district of Sudurpaschim Province.,Nepal,"24 Jan, 2023 ",earthquake jolt sudurpaschim province . magnitude earthquake occurred pm afternoon. epicentre temblor bajura district sudurpaschim province.
EC yet to decide presidential poll dates,The Election Commission has yet to decide when to hold presidential elections as provisions of the relevant law contradict the constitution.,Nepal,"24 Jan, 2023 ",ec yet decide presidential poll date election commission yet decide hold presidential election provision relevant law contradict constitution.
Three NAC pilots grounded,Three pilots of Nepal Airlines Corporation have been barred from flying after they disobeyed the instruction from air traffic control specialists of Hong Kong.,Nepal,"24 Jan, 2023 ",three nac pilot grounded three pilot nepal airline corporation barred flying disobeyed instruction air traffic control specialist hong kong.
Two cricketers arrested for Nepal T20 league fixing,Police today arrested two cricketers for their involvement in fixing in the Nepal T20 Cricket League.,Nepal,"24 Jan, 2023 ",two cricketer arrested nepal league fixing police today arrested two cricketer involvement fixing nepal cricket league.
Bara farmers incur heavy loss as crop wilts,Farmers have incurred heavy loss with the cash crop sugarcane wilting in Bara.,Nepal,"23 Jan, 2023 ",bara farmer incur heavy loss crop wilt farmer incurred heavy loss cash crop sugarcane wilting bara.
Koirala faction condemns Deuba,"The Shekhar Koirala faction of the Nepali Congress held a discussion to review the party’s role in recent weeks, including its decision to vote in favour of Prime Minister Pushpa Kamal Dahal in the trust vote. Speakers criticised party President Sher Bahadur Deuba and his leadership for not being able to retain the five-party alliance.",Nepal,"23 Jan, 2023 ",koirala faction condemns deuba shekhar koirala faction nepali congress held discussion review party role recent week including decision vote favour prime minister pushpa kamal dahal trust vote. speaker criticised party president sher bahadur deuba leadership able retain five party alliance.
PM Dahal's proposal to cut down expenditures of provinces,Prime Minister Pushpa Kamal today said he had proposed to cut expenditure burden and the number of ministries of provinces.,Nepal,"23 Jan, 2023 ",pm dahal proposal cut expenditure province prime minister pushpa kamal today said proposed cut expenditure burden number ministry provinces.
Nepal records two COVID-19 cases on Monday,"With this, a total of 6,000,883 PCR tests have been carried out till date.",Nepal,"23 Jan, 2023 ",nepal record two covid case monday total pcr test carried till date.
Two persons killed in 22 fire cases in past 24 hours,"Namrata Rai, 39, who used to live inside a temporary settlement in a developed city area of Bhaisepati in Lalitpur, lost her life in a fire yesterday morning.",Nepal,"23 Jan, 2023 ",two person killed fire case past hour namrata rai used live inside temporary settlement developed city area bhaisepati lalitpur lost life fire yesterday morning.
"Planes old, not worn out, claim experts","As the country witnessed the Yeti Airlines plane crash, the general public hastily resorted to calling the planes old. However, experts argue that it is wrong to harbour such assumption.",Nepal,"23 Jan, 2023 ",plane old worn claim expert country witnessed yeti airline plane crash general public hastily resorted calling plane old. however expert argue wrong harbour assumption.
Ministry reshuffle to be finalised today,"KATHMANDU, JANUARY 22Prime Minister Pushpa Kamal Dahal will decide on the ministry to be given to Janamat Party only tomorrow.PM Dahal was supposed to finalise the Ministry...",Nepal,"23 Jan, 2023 ",ministry reshuffle finalised today kathmandu january prime minister pushpa kamal dahal decide ministry given janamat party tomorrow.pm dahal supposed finalise ministry...
Who is the leader of opposition in HoR?,"With the Nepali Congress, which has 89 lawmakers in the House of Representatives and is the single largest party in the Lower House, voting in favour of Prime Minister Pushpa Kamal Dahal in the trust vote, it is not clear who will be the principal opposition party in the HoR.",Nepal,"23 Jan, 2023 ",leader opposition hor nepali congress lawmaker house representative single largest party lower house voting favour prime minister pushpa kamal dahal trust vote clear principal opposition party hor.
CIB confirms spot-fixing in NepalT20 Cricket League,The Central Investigation Bureau of Nepal Police confirmed spot-fixing in the NepalT20 Cricket League and said they found circumstantial evidence of match-fixing.,Nepal,"23 Jan, 2023 ",cib confirms spot fixing nepalt cricket league central investigation bureau nepal police confirmed spot fixing nepalt cricket league said found circumstantial evidence match fixing.
65 persons acquire naturalized citizenship in Solukhumbu,As many as 65 women have received naturalized citizenship from Solukhumbu district in the past two decades.,Nepal,"22 Jan, 2023 ",person acquire naturalized citizenship solukhumbu many woman received naturalized citizenship solukhumbu district past two decades.
Health Minister Giri takes stock of situation of measles in Banke,Minister for Health and Population Padam Giri has carried out a field inspection in Banke district to take stock of the situation of measles.,Nepal,"22 Jan, 2023 ",health minister giri take stock situation measles banke minister health population padam giri carried field inspection banke district take stock situation measles.
Pokhara air crash: Charred remains of 14 crash victims yet to be identified,Fourteen bodies retrieved following the crash of Yeti Airlines aircraft in Pokhara are yet to be identified.,Nepal,"22 Jan, 2023 ",pokhara air crash charred remains crash victim yet identified fourteen body retrieved following crash yeti airline aircraft pokhara yet identified.
Sonam Lhosar celebrated across the country,"The festival falls on the Magh Shukla Pratipada, the first day of the bright fortnight in the month of Magh in the lunar calendar.",Nepal,"22 Jan, 2023 ",sonam lhosar celebrated across country festival fall magh shukla pratipada first day bright fortnight month magh lunar calendar.
Nepal records singular COVID-19 case on Sunday,Nepal records singular COVID-19 case on Sunday,Nepal,"22 Jan, 2023 ",nepal record singular covid case sunday nepal record singular covid case sunday
'Be Searchable' RECCO course conducted in Nepal,A five-day search and rescue course using RECCO devices consisting of different levels was completed today.,Nepal,"22 Jan, 2023 ",searchable recco course conducted nepal five day search rescue course using recco device consisting different level completed today.
Four dead in Surkhet road accident,"Four persons were killed in a vehicle accident occurred at 2:30 am today near Jhuprakhola in Birendranagar Municipality-11, Surkhet.",Nepal,"22 Jan, 2023 ",four dead surkhet road accident four person killed vehicle accident occurred today near jhuprakhola birendranagar municipality surkhet.
Nepal has mixed record on LGBT rights: Report,"Nepal has a mixed record on lesbian, gay, bisexual, and transgender rights, said Human Rights Watch in its annual report, 2023.",Nepal,"22 Jan, 2023 ",nepal mixed record lgbt right report nepal mixed record lesbian gay bisexual transgender right said human right watch annual report .
Black box of crashed Yeti aircraft to be sent to France,The black box of the ATR-72 Yeti Airlines aircraft that crashed in Pokhara on January 15 is being sent to the aircraft manufacturing company in France for technical analysis.,Nepal,"22 Jan, 2023 ",black box crashed yeti aircraft sent france black box atr yeti airline aircraft crashed pokhara january sent aircraft manufacturing company france technical analysis.
Condition of four asphyxiation victims serious,"A new mother, a 35-day-old infant and two others are in critical condition after suffering from asphyxiation due to burning of coal inside a closed room in Koteshwor of Kathmandu.",Nepal,"22 Jan, 2023 ",condition four asphyxiation victim serious new mother day old infant two others critical condition suffering asphyxiation due burning coal inside closed room koteshwor kathmandu.
Journey of a mother figure to children of prison inmates,"Once a care giver of inmates’ children, Indira Ranamangar has become the deputy speaker of the House of Representatives.",Nepal,"22 Jan, 2023 ",journey mother figure child prison inmate care giver inmate child indira ranamangar become deputy speaker house representatives.
Ranamagar elected deputy speaker,"Rastriya Swatantra Party candidate Indira Ranamagar, 52, was elected deputy speaker.",Nepal,"22 Jan, 2023 ",ranamagar elected deputy speaker rastriya swatantra party candidate indira ranamagar elected deputy speaker.
Two detained over boy's murder,Police in Rautahat have arrested two persons in connection with the murder of a minor following nearly six-week investigation.,Nepal,"21 Jan, 2023 ",two detained boy murder police rautahat arrested two person connection murder minor following nearly six week investigation.
Nepal records singular COVID-19 case on Saturday,Nepal records singular COVID-19 case on Saturday,Nepal,"21 Jan, 2023 ",nepal record singular covid case saturday nepal record singular covid case saturday
PM Dahal to donate his organs,Prime Minister Pushpa Kamal Dahal has announced that he will donate his organs after his death.,Nepal,"21 Jan, 2023 ",pm dahal donate organ prime minister pushpa kamal dahal announced donate organ death.
Jhapa leaders dominant in Parliament,Jhapa Revolt in the year 1978 is still fresh in people’s mind. One of the rebel during the uprising was CPN-UML President KP Sharma Oli.,Nepal,"21 Jan, 2023 ",jhapa leader dominant parliament jhapa revolt year still fresh people mind. one rebel uprising cpn uml president kp sharma oli.
Judges dissatisfied with pay scale,"The Judges Society Nepal led by Supreme Court Justice Ishwar Prasad Kahtiwada has issued a press release, expressing dissatisfaction over new pay scale fixed by the government for judges.",Nepal,"21 Jan, 2023 ",judge dissatisfied pay scale judge society nepal led supreme court justice ishwar prasad kahtiwada issued press release expressing dissatisfaction new pay scale fixed government judges.
CM Sharma of Karnali Province gets vote of confidence,"Chief Minister of Karnali Province, Raj Kumar Sharma, has secured vote of confidence.",Nepal,"20 Jan, 2023 ",cm sharma karnali province get vote confidence chief minister karnali province raj kumar sharma secured vote confidence.
Snowfall affects life in Humla,Normal life in Humla district has been affected due to snowfall since last night.,Nepal,"20 Jan, 2023 ",snowfall affect life humla normal life humla district affected due snowfall since last night.
'Will make Madhes a prosperous province',Madhes Province Minister without portfolio Sanjaya Yadav said the government was committed to fulfilling the dream of martyrs while offering garlands at the Martyrs’ Park in Lahan on Thursday on the occasion of the 16th Balidani Diwas (martyrdom day).,Nepal,"20 Jan, 2023 ",make madhes prosperous province madhes province minister without portfolio sanjaya yadav said government committed fulfilling dream martyr offering garland martyr park lahan thursday occasion th balidani diwas martyrdom day .
Cabinet expansion delayed,"One week after assuming the post of chief minister in Sudurpaschim Province, Rajendra Rawal is struggling to expand his Cabinet.",Nepal,"20 Jan, 2023 ",cabinet expansion delayed one week assuming post chief minister sudurpaschim province rajendra rawal struggling expand cabinet.
CK Raut mourns Madhes martyrs in Parliament,Janamat Party President CK Raut mourned those who were martyred in the Madhes movement in the Parliament on Thursday.,Nepal,"20 Jan, 2023 ",ck raut mourns madhes martyr parliament janamat party president ck raut mourned martyred madhes movement parliament thursday.
PRIA has no instrument landing system: CAAN,"The newly opened airport in Pokhara where a Yeti Airlines plane was attempting to land when it crashed over the weekend, killing all 72 on board, did not have a functioning instrument landing system that guides planes to the runway, an official said today. Aviation safety experts said it reflected Nepal’s poor air safety record, although the cause of the accident has not been determined.",Nepal,"20 Jan, 2023 ",pria instrument landing system caan newly opened airport pokhara yeti airline plane attempting land crashed weekend killing board functioning instrument landing system guide plane runway official said today. aviation safety expert said reflected nepal poor air safety record although cause accident determined.
