headline,body,location,time_published
"'NC prefers consensus, not power sharing'",Nepali Congress Spokesperson Prakash Sharan Mahat said the party had decided to support the government led by CPN-Maoist Centre Chair Pushpa Kamal Dahal to establish national consensus.,Nepal,"27 Jan, 2023 "
CPN-MC for president thru consensus,A standing committee meeting of the ruling CPN-Maoist Centre on Thursday began discussion on the possibility of electing president through consensus.,Nepal,"27 Jan, 2023 "
Black boxes from Nepal plane crash to be sent to Singapore,Both the flight data recorder and cockpit voice recorder would be examined by experts at Singapore's Transportation Safety Investigation Bureau.,Nepal,"26 Jan, 2023 "
Nepal records five COVID-19 cases on Thursday,"With this, a total of 6,001,947 PCR tests have been carried out till date.",Nepal,"26 Jan, 2023 "
SC to continue hearing Lamichhane's case,"The Supreme Court will continue hearing the case filed against Rastriya Swatantra Party Chair Rabi Lamichhane, raising questions about the status of his Nepali citizenship.",Nepal,"26 Jan, 2023 "
"Nepal sending stones to Ayodhya for sculpting idols of Ram, Sita",Nepal will send two shilas (stones) from the Kali Gandaki River to Ayodhya to build idols of Lord Ram and Sita at the Ram temple to be built by Ram Janmabhoomi Teertha Kshetra (a trust) there.,Nepal,"26 Jan, 2023 "
Govt to investigate Acharya's self-immolation,"The government has decided to investigate issues raised by Prem Prasad Acharya of Ilam, who committed self-immolation in front of the federal Parliament in New Baneshwor yesterday. He succumbed to burn injuries at Cleft and Burn Centre in Kirtipur early today morning.",Nepal,"26 Jan, 2023 "
NSC probe panel recommends stern action against CAN,The investigation committee formed by the National Sports Council to probe irregularities in the NepalT20 Cricket League submitted its report to NSC Member Secretary Tanka Lal Ghising recommending that the sports governing body should take stern action against the executive committee of the Cricket Association of Nepal.,Nepal,"26 Jan, 2023 "
Six Pokhara plane crash victims to be identified through DNA tests,DNA tests would be carried out in the Nepal Police Laboratory in Kathmandu.,Nepal,"25 Jan, 2023 "
Nepal records three COVID-19 cases on Wednesday,Nepal records three COVID-19 cases on Wednesday,Nepal,"25 Jan, 2023 "
Pokhara festival records transactions of worth Rs 100 million,The 13th Pokhara Festival witnessed transactions worth Rs 100 million.,Nepal,"25 Jan, 2023 "
New rule to discourage child marriage,"A ward office in Surunga Municipality of Saptari has come up with a new rule to discourage the scourge of child marriage. As per the new rule, it is mandatory to mention the date of birth of both the bride and bridegroom on the invitation card.",Nepal,"25 Jan, 2023 "
Measles patients detected in three local levels of Kailali,Measles patients have been found in three local levels of Kailali.,Nepal,"25 Jan, 2023 "
Youth attempts self-immolation in front of Parliament building,A 36-year-old tried to self-immolate in front of the Parliament in New Baneshwor today.,Nepal,"25 Jan, 2023 "
PM says won't brook criticism of federalism,Prime Minister Pushpa Kamal Dahal told the National Assembly that he would issue a show cause notice to members of his Cabinet if they spoke against federalism and republican order.,Nepal,"25 Jan, 2023 "
"Ex-players, teams' management, involved in spot-fixing: Police","KATHMANDU, JANUARY 24The Central Investigation Bureau of Nepal Police today revealed in a press conference that people from team management, former players, and middlemen...",Nepal,"25 Jan, 2023 "
60 of the Nepal plane crash victims handed over to relatives,60 of the Nepal plane crash victims handed over to relatives,Nepal,"24 Jan, 2023 "
"Earthquake kills 1, injures several in Nepal's mountains","Earthquake kills 1, injures several in Nepal's mountains",Nepal,"24 Jan, 2023 "
Earthquake jolts Sudurpaschim Province,A 5.9 magnitude earthquake has occurred at 2:43pm this afternoon. The epicentre of the temblor was in Bajura district of Sudurpaschim Province.,Nepal,"24 Jan, 2023 "
EC yet to decide presidential poll dates,The Election Commission has yet to decide when to hold presidential elections as provisions of the relevant law contradict the constitution.,Nepal,"24 Jan, 2023 "
Three NAC pilots grounded,Three pilots of Nepal Airlines Corporation have been barred from flying after they disobeyed the instruction from air traffic control specialists of Hong Kong.,Nepal,"24 Jan, 2023 "
Two cricketers arrested for Nepal T20 league fixing,Police today arrested two cricketers for their involvement in fixing in the Nepal T20 Cricket League.,Nepal,"24 Jan, 2023 "
Bara farmers incur heavy loss as crop wilts,Farmers have incurred heavy loss with the cash crop sugarcane wilting in Bara.,Nepal,"23 Jan, 2023 "
Koirala faction condemns Deuba,"The Shekhar Koirala faction of the Nepali Congress held a discussion to review the party’s role in recent weeks, including its decision to vote in favour of Prime Minister Pushpa Kamal Dahal in the trust vote. Speakers criticised party President Sher Bahadur Deuba and his leadership for not being able to retain the five-party alliance.",Nepal,"23 Jan, 2023 "
PM Dahal's proposal to cut down expenditures of provinces,Prime Minister Pushpa Kamal today said he had proposed to cut expenditure burden and the number of ministries of provinces.,Nepal,"23 Jan, 2023 "
Nepal records two COVID-19 cases on Monday,"With this, a total of 6,000,883 PCR tests have been carried out till date.",Nepal,"23 Jan, 2023 "
Two persons killed in 22 fire cases in past 24 hours,"Namrata Rai, 39, who used to live inside a temporary settlement in a developed city area of Bhaisepati in Lalitpur, lost her life in a fire yesterday morning.",Nepal,"23 Jan, 2023 "
"Planes old, not worn out, claim experts","As the country witnessed the Yeti Airlines plane crash, the general public hastily resorted to calling the planes old. However, experts argue that it is wrong to harbour such assumption.",Nepal,"23 Jan, 2023 "
Ministry reshuffle to be finalised today,"KATHMANDU, JANUARY 22Prime Minister Pushpa Kamal Dahal will decide on the ministry to be given to Janamat Party only tomorrow.PM Dahal was supposed to finalise the Ministry...",Nepal,"23 Jan, 2023 "
Who is the leader of opposition in HoR?,"With the Nepali Congress, which has 89 lawmakers in the House of Representatives and is the single largest party in the Lower House, voting in favour of Prime Minister Pushpa Kamal Dahal in the trust vote, it is not clear who will be the principal opposition party in the HoR.",Nepal,"23 Jan, 2023 "
CIB confirms spot-fixing in NepalT20 Cricket League,The Central Investigation Bureau of Nepal Police confirmed spot-fixing in the NepalT20 Cricket League and said they found circumstantial evidence of match-fixing.,Nepal,"23 Jan, 2023 "
65 persons acquire naturalized citizenship in Solukhumbu,As many as 65 women have received naturalized citizenship from Solukhumbu district in the past two decades.,Nepal,"22 Jan, 2023 "
Health Minister Giri takes stock of situation of measles in Banke,Minister for Health and Population Padam Giri has carried out a field inspection in Banke district to take stock of the situation of measles.,Nepal,"22 Jan, 2023 "
Pokhara air crash: Charred remains of 14 crash victims yet to be identified,Fourteen bodies retrieved following the crash of Yeti Airlines aircraft in Pokhara are yet to be identified.,Nepal,"22 Jan, 2023 "
Sonam Lhosar celebrated across the country,"The festival falls on the Magh Shukla Pratipada, the first day of the bright fortnight in the month of Magh in the lunar calendar.",Nepal,"22 Jan, 2023 "
Nepal records singular COVID-19 case on Sunday,Nepal records singular COVID-19 case on Sunday,Nepal,"22 Jan, 2023 "
'Be Searchable' RECCO course conducted in Nepal,A five-day search and rescue course using RECCO devices consisting of different levels was completed today.,Nepal,"22 Jan, 2023 "
Four dead in Surkhet road accident,"Four persons were killed in a vehicle accident occurred at 2:30 am today near Jhuprakhola in Birendranagar Municipality-11, Surkhet.",Nepal,"22 Jan, 2023 "
Nepal has mixed record on LGBT rights: Report,"Nepal has a mixed record on lesbian, gay, bisexual, and transgender rights, said Human Rights Watch in its annual report, 2023.",Nepal,"22 Jan, 2023 "
Black box of crashed Yeti aircraft to be sent to France,The black box of the ATR-72 Yeti Airlines aircraft that crashed in Pokhara on January 15 is being sent to the aircraft manufacturing company in France for technical analysis.,Nepal,"22 Jan, 2023 "
Condition of four asphyxiation victims serious,"A new mother, a 35-day-old infant and two others are in critical condition after suffering from asphyxiation due to burning of coal inside a closed room in Koteshwor of Kathmandu.",Nepal,"22 Jan, 2023 "
Journey of a mother figure to children of prison inmates,"Once a care giver of inmates’ children, Indira Ranamangar has become the deputy speaker of the House of Representatives.",Nepal,"22 Jan, 2023 "
Ranamagar elected deputy speaker,"Rastriya Swatantra Party candidate Indira Ranamagar, 52, was elected deputy speaker.",Nepal,"22 Jan, 2023 "
Two detained over boy's murder,Police in Rautahat have arrested two persons in connection with the murder of a minor following nearly six-week investigation.,Nepal,"21 Jan, 2023 "
Nepal records singular COVID-19 case on Saturday,Nepal records singular COVID-19 case on Saturday,Nepal,"21 Jan, 2023 "
PM Dahal to donate his organs,Prime Minister Pushpa Kamal Dahal has announced that he will donate his organs after his death.,Nepal,"21 Jan, 2023 "
Jhapa leaders dominant in Parliament,Jhapa Revolt in the year 1978 is still fresh in people’s mind. One of the rebel during the uprising was CPN-UML President KP Sharma Oli.,Nepal,"21 Jan, 2023 "
Judges dissatisfied with pay scale,"The Judges Society Nepal led by Supreme Court Justice Ishwar Prasad Kahtiwada has issued a press release, expressing dissatisfaction over new pay scale fixed by the government for judges.",Nepal,"21 Jan, 2023 "
CM Sharma of Karnali Province gets vote of confidence,"Chief Minister of Karnali Province, Raj Kumar Sharma, has secured vote of confidence.",Nepal,"20 Jan, 2023 "
Snowfall affects life in Humla,Normal life in Humla district has been affected due to snowfall since last night.,Nepal,"20 Jan, 2023 "
'Will make Madhes a prosperous province',Madhes Province Minister without portfolio Sanjaya Yadav said the government was committed to fulfilling the dream of martyrs while offering garlands at the Martyrs’ Park in Lahan on Thursday on the occasion of the 16th Balidani Diwas (martyrdom day).,Nepal,"20 Jan, 2023 "
Cabinet expansion delayed,"One week after assuming the post of chief minister in Sudurpaschim Province, Rajendra Rawal is struggling to expand his Cabinet.",Nepal,"20 Jan, 2023 "
CK Raut mourns Madhes martyrs in Parliament,Janamat Party President CK Raut mourned those who were martyred in the Madhes movement in the Parliament on Thursday.,Nepal,"20 Jan, 2023 "
PRIA has no instrument landing system: CAAN,"The newly opened airport in Pokhara where a Yeti Airlines plane was attempting to land when it crashed over the weekend, killing all 72 on board, did not have a functioning instrument landing system that guides planes to the runway, an official said today. Aviation safety experts said it reflected Nepal’s poor air safety record, although the cause of the accident has not been determined.",Nepal,"20 Jan, 2023 "
Ghimire elected House speaker,"CPN-UML candidate Devraj Ghimire, 67, was elected speaker of the House of Representatives on Thursday.",Nepal,"20 Jan, 2023 "
Weather forecast: Light rain to take place today,"According to the Department, partial to general changes would occur in mountainous areas of Sudurpaschim and Karnali provinces.",Nepal,"19 Jan, 2023 "
Lumbini Chief Minister Giri secures vote of confidence,Members of Provincial Assembly of eight political parties and two independent members voted in favor of Giri.,Nepal,"19 Jan, 2023 "
Nepal crash: Airport had no instrument landing system,Authorities said it was taking time to identify several bodies that were badly burned.,Nepal,"19 Jan, 2023 "
Nepal records five COVID-19 cases on Thursday,"With this, a total of 5,999,277 PCR tests have been carried out till date.",Nepal,"19 Jan, 2023 "
Sudurpaschim government decides to formulate action plan for governance reform,A meeting of the Council of Ministers in the Sudurpaschim government decided to formulate the ‘Province Government Governance Reforms Action Plan- 2079 BS’.,Nepal,"19 Jan, 2023 "
Nepal-France meet discusses bilateral ties,The third meeting of Nepal-France Bilateral Consultation Mechanism was held in Kathmandu yesterday.,Nepal,"19 Jan, 2023 "
Problems facing economy being identified: FinMin,Deputy Prime Minister and Finance Minister Bishnu Prasad Poudel said the ministry was working to identify the problems facing the national economy.,Nepal,"19 Jan, 2023 "
Team arrives from France to probe plane crash,A team of experts arrived from France today to study Sunday’s Yeti Airlines crash in Pokhara. The team has reached the accident site and started conducting their investigation into the crash.,Nepal,"19 Jan, 2023 "
"UML's Ghimre, NC's Neupane to contest speaker's post",CPN-UML lawmaker Dev Raj Ghimire and Nepali Congress lawmaker Ishwari Neupane have filed their candidacy for the post of speaker of the House of Representatives.,Nepal,"19 Jan, 2023 "
Relatives protest slow autopsy of Nepal plane crash victims,Authorities did not comment on the autopsies Wednesday but several of the bodies were reported to be badly burned.,Nepal,"18 Jan, 2023 "
Nepal records 11 COVID-19 cases on Wednesday,"With this, a total of 5,998,813 PCR tests have been carried out till date.",Nepal,"18 Jan, 2023 "
26pc women in new Cabinet,"Half-a-dozen women have participated in the Cabinet formed this time. In the 23-member Cabinet, 26 per cent are women.",Nepal,"18 Jan, 2023 "
Dr Sanduk Ruit wins top civilian award of Bahrain,"Dr Sanduk Ruit, noted Nepali ophthalmologist, will receive the fifth edition of Isa award for service to humanity, a top civilian honour of the Kingdom of Bahrain.",Nepal,"18 Jan, 2023 "
Government amends grant distribution procedure for drug rehabilitation centres,"The Ministry of Home Affairs has made an amendment to the ‘Procedure related to Operation of Drug Users’ Treatment and Rehabilitation Centres, 2021’ to rehabilitate and reintegrate drug users into society in a more effective and systematic way.",Nepal,"18 Jan, 2023 "
All-party meeting fails to reach consensus on key posts,"The all-party meeting called by Prime Minister Pushpa Kamal Dahal ahead of the speaker’s elections failed to forge consensus among parties on which party should get which constitutional posts — president, vice-president, speaker, and deputy speaker.",Nepal,"18 Jan, 2023 "
Tanahun court acquits actor Paul Shah,"Popular actor Paul Shah, alias Purna Bikram Shah, who was facing the charge of rape in the Tanahun district court, has been acquitted by the court. Judge Komal Prasad Acharya’s bench decided to absolve Shah of the rape charge levelled against him, citing lack of evidence.",Nepal,"18 Jan, 2023 "
One more air crash victim's body recovered,Rescue authorities managed to recover one of the two missing bodies from the Yeti Airlines crash site in Pokhara today.,Nepal,"18 Jan, 2023 "
"PM Dahal expands Cabinet, inducts 15 more ministers","Prime Minister Pushpa Kamal Dahal today expanded the Cabinet, inducting 15 more ministers from partners of the seven-party alliance. The expanded Cabinet has 23 ministers, including four deputy prime ministers and three ministers of state.",Nepal,"18 Jan, 2023 "
Pokhara plane crash: One more body recovered,"Mortal remains of a woman were found some 300 metres below the crash site, Chief of the Kaski District Police Office, DSP Ajaya KC said.",Nepal,"17 Jan, 2023 "
"Families mourn Nepal plane victims, data box sent to France","According to the Flight Safety Foundation’s Aviation Safety database, there have been 42 fatal plane crashes in Nepal since 1946.",Nepal,"17 Jan, 2023 "
Nepal records three COVID-19 cases on Tuesday,"With this, a total of 5,998,462 PCR tests have been carried out till date.",Nepal,"17 Jan, 2023 "
Flyer filmed Nepal crash; co-pilot met same fate as husband,Flyer filmed Nepal crash; co-pilot met same fate as husband,Nepal,"17 Jan, 2023 "
Black box recovered from Yeti Airlines crash site,"Authorities recovered the black box from the crash site of Yeti Airlines in Pokhara early today. The flight voice recorder and cockpit voice recorder have been handed over to the air crash investigation committee, according to the Civil Aviation Authority of Nepal.",Nepal,"17 Jan, 2023 "
Dr Sanduk Ruit wins top civilian award of Bahrain,"Dr Sanduk Ruit, noted Nepali ophthalmologist, will receive the fifth edition of Isa award for service to humanity, a top civilian honour of the Kingdom of Bahrain.",Nepal,"17 Jan, 2023 "
Shortage of medicines in Jajarkot health posts,People visiting the health posts in the district have complained of not getting medicine.,Nepal,"17 Jan, 2023 "
It's back again!,It was shocking to learn that there is no more stock of Covishield booster jabs at the Teku Hospital meant for the treatment of tropical and infectious diseases.,Nepal,"17 Jan, 2023 "
Sudurpaschim PA meeting postponed,The scheduled meeting of the Provincial Assembly of Sudurpaschim Province was halted today citing the national mourning public holiday declared by the federal government.,Nepal,"17 Jan, 2023 "
Adhikari's family awaiting justice for 21 years,Family members and relatives of late Muktinath Adhikari and activists are commemorating the 21st anniversary of his brutal killing without a trace of any truth and justice even as four sets of people’s representatives have been elected since the start of the peace process in Nepal in November 2006.,Nepal,"17 Jan, 2023 "
Earthquake security exhibition today,Earthquake security exhibition will be held tomorrow at Kamal Pokhari as part of the regular plan to celebrate the 25th National Earthquake Safety Day which was supposed to be organised today.,Nepal,"17 Jan, 2023 "
CPN-UML's Chapagain elected deputy speaker of Bagmati PA,CPN-UML’s lawmaker Apsara Chapagain has been elected deputy speaker of Bagmati Provincial Assembly.,Nepal,"17 Jan, 2023 "
Rabi Lamichhane submits written reply to SC,Deputy Prime Minister and Home Minister Rabi Lamichhane has submitted his written reply to the Supreme Court in response to the cases filed against him challenging his election to the House of Representatives.,Nepal,"17 Jan, 2023 "
Nepal records five COVID-19 cases on Monday,"Currently, there are no individuals in any quarantine facilities across Nepal.",Nepal,"16 Jan, 2023 "
"Flight data, voice recorders retrieved from Nepal crash site","Rescuers are still searching the debris, which is scattered down a 300-meter (984-foot) gorge, for the three missing people who are believed to be dead.",Nepal,"16 Jan, 2023 "
"Man abandons wife with burn injuries, marries another woman","BAJURA, JANUARY 15After her husband married another woman, Loksari Kuwar, 23, who had received burn injuries, has been left in the lurch in Ward No 10 of Budhiganga...",Nepal,"16 Jan, 2023 "
Blackbox of crashed Yeti aircraft found,The black box of the Yeti Airlines aircraft that crashed in Pokhara on Sunday has been located and retrieved.,Nepal,"16 Jan, 2023 "
Pokhara plane crash: 26 bodies identified,The bodies of 26 passengers on board the Yeti Airlines aircraft that crashed in Seti gorge on Monday have been identified.,Nepal,"16 Jan, 2023 "
Govt fixes sectors for utilisation of complementary grants,"The Ministry of Federal Affairs and General Administration has informed the local levels that they could spend the complementary grants provided by the federal government on five sectors only. They include economic sector, infrastructure, agricultural land reform, forestry, social sector, and good governance.",Nepal,"16 Jan, 2023 "
Maghe Sankranti festival celebrated across country,Maghe or Makar Sankranti in common Hindu dialect was celebrated across various regions and among ethnic communities in the country today.,Nepal,"16 Jan, 2023 "
NC supports expelled candidate for PA speaker,"Jangilal Rai Yadav, who was expelled from the party without even being appointed as an ordinary member, has finally become the candidate for the post of speaker of Madhes Provincial Assembly from the Nepali Congress.",Nepal,"16 Jan, 2023 "
Govt forms panel to probe plane crash,The government has formed a five-member probe committee to investigate Yeti Airlines plane crash near Pokhara Regional International Airport today.,Nepal,"16 Jan, 2023 "
Bodies of deceased in Pokhara plane crash taken to Gandaki Hospital for examination,"The bodies of those people who died in the aircraft crash belonging to Yeti Airlines in Pokhara today have been retrieved and taken to Gandaki Hospital for a postmortem, said the district administration office, Kaski.",Nepal,"15 Jan, 2023 "
Government decides to give public holiday Monday to mourn Pokhara plane crash victims,The government has decided to give a public holiday on Monday to mourn the fatal crash of the 9N-ANC ATR 72 in Pokhara this morning.,Nepal,"15 Jan, 2023 "
Pokhara International Airport shut for flights today,"Following the Yeti Airlines aircraft crash, the Pokhara International Airport has been closed for today for all incoming and outgoing flights.",Nepal,"15 Jan, 2023 "
Five Indians among 15 foreigners onboard crashed aircraft feared dead,Five Indians among the total 15 foreign nationals had boarded the 9N ANC ATR 72 plane that that crashed in Pokhara this morning are feared dead.,Nepal,"15 Jan, 2023 "
"32 bodies recovered, rescue efforts underway",At least 32 bodies have been recovered from the wreckage site of the Yeti aircraft crash in Pokhara.,Nepal,"15 Jan, 2023 "
Yeti aircraft crashes in Pokhara,"A Yeti Airlines aricraft flying from Kathmandu to Pokhara with 68 people onboard, has crashed in Pokhara of Kaski on Sunday morning.",Nepal,"15 Jan, 2023 "
Home Minister Lamichhane requests Nirmala Kurmi's activists to quit protest,Deputy Prime Minister and Home Minister Rabi Lamichhane today met women activists campaigning for justice for Nirmala Kumri at Maitighar Mandala and requested them in person to quit activism and help the authorities to bring culprits behind bars.,Nepal,"15 Jan, 2023 "
Lack of ambulance service hits patients hard,"Patients have been facing problems due to lack of ambulance service in Budhiganga Municipality, Bajura.",Nepal,"15 Jan, 2023 "
HRW report paints dismal picture of rule of law,"Nepali authorities have failed to end impunity for the ongoing abuses by security forces, said the Human Rights Watch.",Nepal,"15 Jan, 2023 "
"No deal as of now on prez, veep, speaker and deputy speaker: PM","Prime Minister Pushpa Kamal Dahal said there was no written agreement in the ruling coalition on which party would get which of the three posts — president, speaker, and deputy speaker.",Nepal,"15 Jan, 2023 "
Speaker nomination process put off in Sudurpaschim,The process of electing the speaker for the Sudurpaschim Provincial Assembly has been put off until a further notice.,Nepal,"14 Jan, 2023 "
Siraha crusher plant owners submit memo to DAO,"Crusher entrepreneurs of Siraha have submitted a memorandum to the district administration office, expressing serious concerns about the government’s recent decision to shut their businesses.",Nepal,"14 Jan, 2023 "
